ACT Symbol,Company Name,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
ACP,Avenue Income Credit Strategies Fund Common Shares,Avenue Income Credit Strategies Fund Common Shares,N,ACP,N,100.0,N,ACP
ACRE,Ares Commercial Real Estate Corporation Common Stock,Ares Commercial Real Estate Corporation Common Stock,N,ACRE,N,100.0,N,ACRE
ACT,Actavis plc Ordinary Shares,Actavis plc Ordinary Shares,N,ACT,N,100.0,N,ACT
ACU,Acme United Corporation. Common Stock,Acme United Corporation. Common Stock,A,ACU,N,100.0,N,ACU
ACW,Accuride Corporation Common Stock,Accuride Corporation Common Stock,N,ACW,N,100.0,N,ACW
ACWV,iShares MSCI All Country World Minimum Volatility Index Fund,iShares MSCI All Country World Minimum Volatility Index Fund,P,ACWV,Y,100.0,N,ACWV
ACY,AeroCentury Corp. Common Stock,AeroCentury Corp. Common Stock,A,ACY,N,100.0,N,ACY
ADC,Agree Realty Corporation Common Stock,Agree Realty Corporation Common Stock,N,ADC,N,100.0,N,ADC
ADGE,American DG Energy Inc. Common Stock,American DG Energy Inc. Common Stock,A,ADGE,N,100.0,N,ADGE
ADK,Adcare Health Systems Inc Common Stock (GA),Adcare Health Systems Inc Common Stock (GA),A,ADK,N,100.0,N,ADK
ADK$A,"Adcare Health Systems Inc 10.875% Series A Cumulative Redeemable Preferred Stock, no par value per share (GA)","Adcare Health Systems Inc 10.875% Series A Cumulative Redeemable Preferred Stock, no par value per share (GA)",A,ADKpA,N,100.0,N,ADK-A
ADM,Archer,Archer-Daniels-Midland Company Common Stock,N,ADM,N,100.0,N,ADM
ADPT,Adeptus Health Inc. Common Stock,Adeptus Health Inc. Common Stock,N,ADPT,N,100.0,N,ADPT
ADS,Alliance Data Systems Corporation Common Stock,Alliance Data Systems Corporation Common Stock,N,ADS,N,100.0,N,ADS
ADT,ADT Corporation Common Stock,ADT Corporation Common Stock,N,ADT,N,100.0,N,ADT
ADX,Adams Express Company (The),Adams Express Company (The),N,ADX,N,100.0,N,ADX
ADZ,DB Agriculture Short ETN DB Agriculture Short ETN,DB Agriculture Short ETN DB Agriculture Short ETN,P,ADZ,N,100.0,N,ADZ
AE,"Adams Resources & Energy, Inc. Common Stock","Adams Resources & Energy, Inc. Common Stock",A,AE,N,100.0,N,AE
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),N,AEB,N,100.0,N,AEB
AEC,Associated Estates Realty Corporation Common Stock,Associated Estates Realty Corporation Common Stock,N,AEC,N,100.0,N,AEC
AED,AEGON N.V. Perp. Cap. Securities (Netherlands),AEGON N.V. Perp. Cap. Securities (Netherlands),N,AED,N,100.0,N,AED
AEE,Ameren Corporation Common Stock,Ameren Corporation Common Stock,N,AEE,N,100.0,N,AEE
AEG,AEGON N.V. Common Stock,AEGON N.V. Common Stock,N,AEG,N,100.0,N,AEG
AEH,AEGON N.V. Perp. Cap Secs.,AEGON N.V. Perp. Cap Secs.,N,AEH,N,100.0,N,AEH
AEK,Aegon NV 8.00% Non,Aegon NV 8.00% Non-Cumulative Subordinated Notes due 2042,N,AEK,N,100.0,N,AEK
AEL,American Equity Investment Life Holding Company Common Stock,American Equity Investment Life Holding Company Common Stock,N,AEL,N,100.0,N,AEL
AEM,Agnico Eagle Mines Limited Common Stock,Agnico Eagle Mines Limited Common Stock,N,AEM,N,100.0,N,AEM
AEO,"American Eagle Outfitters, Inc. Common Stock","American Eagle Outfitters, Inc. Common Stock",N,AEO,N,100.0,N,AEO
AEP,"American Electric Power Company, Inc. Common Stock","American Electric Power Company, Inc. Common Stock",N,AEP,N,100.0,N,AEP
AER,Aercap Holdings N.V. Ordinary Shares,Aercap Holdings N.V. Ordinary Shares,N,AER,N,100.0,N,AER
AES,The AES Corporation Common Stock,The AES Corporation Common Stock,N,AES,N,100.0,N,AES
AES$C,AES Corporation (The) Class C Preferred Stock,AES Corporation (The) Class C Preferred Stock,N,AESpC,N,100.0,N,AES-C
AET,Aetna Inc. Common Stock,Aetna Inc. Common Stock,N,AET,N,100.0,N,AET
AF,Astoria Financial Corporation Common Stock,Astoria Financial Corporation Common Stock,N,AF,N,100.0,N,AF
AF$C,Astoria Financial Corporation Depositary Shs Repstg 1/40th Int Perp Pfd Ser C 6.5%,Astoria Financial Corporation Depositary Shs Repstg 1/40th Int Perp Pfd Ser C 6.5%,N,AFpC,N,100.0,N,AF-C
AFA,"American Financial Group, Inc. 5.75% Senior Notes due 2042","American Financial Group, Inc. 5.75% Senior Notes due 2042",N,AFA,N,100.0,N,AFA
AFB,AllianceBernstein National Municipal Income Fund Inc,AllianceBernstein National Municipal Income Fund Inc,N,AFB,N,100.0,N,AFB
AFC,"Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047","Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047",N,AFC,N,100.0,N,AFC
AFG,"American Financial Group, Inc. Common Stock","American Financial Group, Inc. Common Stock",N,AFG,N,100.0,N,AFG
AFGE,"American Financial Group, Inc. 6.25% Subordinated Debentures due 2054","American Financial Group, Inc. 6.25% Subordinated Debentures due 2054",N,AFGE,N,100.0,N,AFGE
AFK,Market Vectors,Market Vectors-Africa Index ETF,P,AFK,Y,100.0,N,AFK
AFL,AFLAC Incorporated Common Stock,AFLAC Incorporated Common Stock,N,AFL,N,100.0,N,AFL
AFM,"Affiliated Managers Group, Inc. 5.250% Senior Notes due 2022","Affiliated Managers Group, Inc. 5.250% Senior Notes due 2022",N,AFM,N,100.0,N,AFM
AFQ,"American Financial Group, Inc. 7% Senior Notes due 2050","American Financial Group, Inc. 7% Senior Notes due 2050",N,AFQ,N,100.0,N,AFQ
AFSD,"Aflac Incorporated 5.50% Subordinated Debentures due September 15, 2052","Aflac Incorporated 5.50% Subordinated Debentures due September 15, 2052",N,AFSD,N,100.0,N,AFSD
AFSI$A,"AmTrust Financial Services, Inc. Preferred Series A","AmTrust Financial Services, Inc. Preferred Series A",N,AFSIpA,N,100.0,N,AFSI-A
AFSI$B,"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series B","AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series B",N,AFSIpB,N,100.0,N,AFSI-B
AFSI$C,"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series C","AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series C",N,AFSIpC,N,100.0,N,AFSI-C
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,Apollo Senior Floating Rate Fund Inc. Common Stock,N,AFT,N,100.0,N,AFT
AFW,"American Financial Group, Inc. 6 3/8% Senior Notes due 2042","American Financial Group, Inc. 6 3/8% Senior Notes due 2042",N,AFW,N,100.0,N,AFW
AG,First Majestic Silver Corp. Ordinary Shares (Canada),First Majestic Silver Corp. Ordinary Shares (Canada),N,AG,N,100.0,N,AG
AGA,DB Agriculture Short ETN DB Agriculture Double Short ETN,DB Agriculture Short ETN DB Agriculture Double Short ETN,P,AGA,N,100.0,N,AGA
AGC,Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest,Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest,N,AGC,N,100.0,N,AGC
AGCO,AGCO Corporation Common Stock,AGCO Corporation Common Stock,N,AGCO,N,100.0,N,AGCO
AGD,Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest,Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest,N,AGD,N,100.0,N,AGD
AGF,DB Agriculture Long ETN DB Agriculture Long ETN,DB Agriculture Long ETN DB Agriculture Long ETN,P,AGF,N,100.0,N,AGF
AGG,iShares Core U.S. Aggregate Bond ETF,iShares Core U.S. Aggregate Bond ETF,P,AGG,Y,100.0,N,AGG
AGI,Alamos Gold Inc Ordinary Shares,Alamos Gold Inc Ordinary Shares,N,AGI,N,100.0,N,AGI
AGLS,Accuvest Global Long Short ETF,Accuvest Global Long Short ETF,P,AGLS,Y,100.0,N,AGLS
AGM,Federal Agricultural Mortgage Corporation Common Stock,Federal Agricultural Mortgage Corporation Common Stock,N,AGM,N,100.0,N,AGM
AGM$A,Federal Agricultural Mortgage Corporation 5.875% Non,"Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock, Series A",N,AGMpA,N,100.0,N,AGM-A
AGM$B,Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B,Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B,N,AGMpB,N,100.0,N,AGM-B
AGM$C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,N,AGMpC,N,100.0,N,AGM-C
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,Federal Agricultural Mortgage Corporation Common Stock,N,AGM/A,N,100.0,N,AGM.A
AGN,"Allergan, Inc. Common Stock","Allergan, Inc. Common Stock",N,AGN,N,100.0,N,AGN
AGO,Assured Guaranty Ltd. Common Stock,Assured Guaranty Ltd. Common Stock,N,AGO,N,100.0,N,AGO
AGO$B,Assured Guaranty Ltd.,Assured Guaranty Ltd.,N,AGOpB,N,100.0,N,AGO-B
AGO$E,Assured Guaranty Ltd.,Assured Guaranty Ltd.,N,AGOpE,N,100.0,N,AGO-E
AGO$F,Assured Guaranty Ltd.,Assured Guaranty Ltd.,N,AGOpF,N,100.0,N,AGO-F
AGOL,ETFS Asian Gold Trust,ETFS Asian Gold Trust,P,AGOL,Y,100.0,N,AGOL
AGQ,ProShares Ultra Silver,ProShares Ultra Silver,P,AGQ,Y,100.0,N,AGQ
AGRO,Adecoagro S.A. Common Shares,Adecoagro S.A. Common Shares,N,AGRO,N,100.0,N,AGRO
AGU,Agrium Inc. Common Stock,Agrium Inc. Common Stock,N,AGU,N,100.0,N,AGU
AGX,"Argan, Inc. Common Stock","Argan, Inc. Common Stock",N,AGX,N,100.0,N,AGX
AGZ,iShares  Agency Bond ETF,iShares  Agency Bond ETF,P,AGZ,Y,100.0,N,AGZ
AHC,A.H. Belo Corporation Common Stock,A.H. Belo Corporation Common Stock,N,AHC,N,100.0,N,AHC
AHH,"Armada Hoffler Properties, Inc. Common Stock","Armada Hoffler Properties, Inc. Common Stock",N,AHH,N,100.0,N,AHH
AHL,Aspen Insurance Holdings Limited Ordinary Shares,Aspen Insurance Holdings Limited Ordinary Shares,N,AHL,N,100.0,N,AHL
AHL$A,Aspen Insurance Holdings Limited Perp Pfd Shares (Bermuda),Aspen Insurance Holdings Limited Perp Pfd Shares (Bermuda),N,AHLpA,N,100.0,N,AHL-A
AHL$B,Aspen Insurance Holdings Limited Perp Pref Shs (Bermuda),Aspen Insurance Holdings Limited Perp Pref Shs (Bermuda),N,AHLpB,N,100.0,N,AHL-B
AHL$C,Aspen Insurance Holdings Limited 5.95% Fixed,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,N,AHLpC,N,100.0,N,AHL-C
AHP,"Ashford Hospitality Prime, Inc. Common Stock","Ashford Hospitality Prime, Inc. Common Stock",N,AHP,N,100.0,N,AHP
AHS,AMN Healthcare Services Inc AMN Healthcare Services Inc,AMN Healthcare Services Inc AMN Healthcare Services Inc,N,AHS,N,100.0,N,AHS
AHT,Ashford Hospitality Trust Inc Common Stock,Ashford Hospitality Trust Inc Common Stock,N,AHT,N,100.0,N,AHT
AHT$A,Ashford Hospitality Trust Inc 8.55% Cum Preferred Series A,Ashford Hospitality Trust Inc 8.55% Cum Preferred Series A,N,AHTpA,N,100.0,N,AHT-A
AHT$D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,N,AHTpD,N,100.0,N,AHT-D
AHT$E,Ashford Hospitality Trust Inc 9.00% Series E Cumulative Preferred Stock,Ashford Hospitality Trust Inc 9.00% Series E Cumulative Preferred Stock,N,AHTpE,N,100.0,N,AHT-E
AI,Arlington Asset Investment Corp Class A (new),Arlington Asset Investment Corp Class A (new),N,AI,N,100.0,N,AI
AIA,iShares Asia 50 ETF,iShares Asia 50 ETF,P,AIA,Y,100.0,N,AIA
AIB,Apollo Investment Corporation 6.625% Senior Notes due 2042,Apollo Investment Corporation 6.625% Senior Notes due 2042,N,AIB,N,100.0,N,AIB
AIF,Apollo Tactical Income Fund Inc. Common Stock,Apollo Tactical Income Fund Inc. Common Stock,N,AIF,N,100.0,N,AIF
AIG,"American International Group, Inc. New Common Stock","American International Group, Inc. New Common Stock",N,AIG,N,100.0,N,AIG
AIG.W,"American International Group, Inc. Warrant expiring January 19, 2021","American International Group, Inc. Warrant expiring January 19, 2021",N,AIG/WS,N,100.0,N,AIG+
AIN,Albany International Corporation Common Stock,Albany International Corporation Common Stock,N,AIN,N,100.0,N,AIN
AINC,Ashford Inc. Common Stock,Ashford Inc. Common Stock,A,AINC,N,100.0,N,AINC
AIR,AAR Corp. Common Stock,AAR Corp. Common Stock,N,AIR,N,100.0,N,AIR
AIRI,Air Industries Group Common Stock,Air Industries Group Common Stock,A,AIRI,N,100.0,N,AIRI
AIT,"Applied Industrial Technologies, Inc. Common Stock","Applied Industrial Technologies, Inc. Common Stock",N,AIT,N,100.0,N,AIT
AIV,Apartment Investment and Management Company Common Stock,Apartment Investment and Management Company Common Stock,N,AIV,N,100.0,N,AIV
AIV$A,Apartment Investment and Management Company Preferred Series Class A,Apartment Investment and Management Company Preferred Series Class A,N,AIVpA,N,100.0,N,AIV-A
AIV$Z,Apartment Investment and Management Company Class Z Cumulative Preferred Stock,Apartment Investment and Management Company Class Z Cumulative Preferred Stock,N,AIVpZ,N,100.0,N,AIV-Z
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,Arlington Asset Investment Corp 6.625% Notes due 2023,N,AIW,N,100.0,N,AIW
AIY,Apollo Investment Corporation 6.875% Senior Notes due 2043,Apollo Investment Corporation 6.875% Senior Notes due 2043,N,AIY,N,100.0,N,AIY
AIZ,"Assurant, Inc. Common Stock","Assurant, Inc. Common Stock",N,AIZ,N,100.0,N,AIZ
AJG,Arthur J. Gallagher & Co. Common Stock,Arthur J. Gallagher & Co. Common Stock,N,AJG,N,100.0,N,AJG
AKG,Asanko Gold Inc.,Asanko Gold Inc.,A,AKG,N,100.0,N,AKG
AKO.A,Embotelladora Andina S.A. Common Stock,Embotelladora Andina S.A. Common Stock,N,AKO/A,N,100.0,N,AKO.A
AKO.B,Embotelladora Andina S.A. Common Stock,Embotelladora Andina S.A. Common Stock,N,AKO/B,N,100.0,N,AKO.B
AKP,Alliance California Municipal Income Fund Inc,Alliance California Municipal Income Fund Inc,N,AKP,N,100.0,N,AKP
AKR,Acadia Realty Trust Common Stock,Acadia Realty Trust Common Stock,N,AKR,N,100.0,N,AKR
AKS,AK Steel Holding Corporation Common Stock,AK Steel Holding Corporation Common Stock,N,AKS,N,100.0,N,AKS
AL,Air Lease Corporation Class A Common Stock,Air Lease Corporation Class A Common Stock,N,AL,N,100.0,N,AL
ALB,Albemarle Corporation Common Stock,Albemarle Corporation Common Stock,N,ALB,N,100.0,N,ALB
ALD,WisdomTree Asia Local Debt Fund ETF,WisdomTree Asia Local Debt Fund ETF,P,ALD,Y,100.0,N,ALD
ALDW,"Alon USA Partners, LP Common Units representing Limited Partner Interests","Alon USA Partners, LP Common Units representing Limited Partner Interests",N,ALDW,N,100.0,N,ALDW
ALE,"Allete, Inc.","Allete, Inc.",N,ALE,N,100.0,N,ALE
ALEX,"Alexander & Baldwin, Inc. Common Stock","Alexander & Baldwin, Inc. Common Stock",N,ALEX,N,100.0,N,ALEX
ALFA,AlphaClone Alternative Alpha ETF,AlphaClone Alternative Alpha ETF,P,ALFA,Y,100.0,N,ALFA
ALG,"Alamo Group, Inc. Common Stock","Alamo Group, Inc. Common Stock",N,ALG,N,100.0,N,ALG
ALJ,"Alon USA Energy, Inc. common stick","Alon USA Energy, Inc. common stick",N,ALJ,N,100.0,N,ALJ
ALK,"Alaska Air Group, Inc. Common Stock","Alaska Air Group, Inc. Common Stock",N,ALK,N,100.0,N,ALK
ALL,Allstate Corporation (The) Common Stock,Allstate Corporation (The) Common Stock,N,ALL,N,100.0,N,ALL
ALL$A,Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A,Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A,N,ALLpA,N,100.0,N,ALL-A
ALL$B,Allstate Corporation (The) 5.100% Fixed,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,N,ALLpB,N,100.0,N,ALL-B
ALL$C,Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C,Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C,N,ALLpC,N,100.0,N,ALL-C
ALL$D,The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D,The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D,N,ALLpD,N,100.0,N,ALL-D
ALL$E,Allstate Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series E,Allstate Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series E,N,ALLpE,N,100.0,N,ALL-E
ALL$F,Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd,Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd,N,ALLpF,N,100.0,N,ALL-F
ALLE,Allegion plc Ordinary Shares,Allegion plc Ordinary Shares,N,ALLE,N,100.0,N,ALLE
ALLY,Ally Financial Inc. Common Stock,Ally Financial Inc. Common Stock,N,ALLY,N,100.0,N,ALLY
ALLY$A,"GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities, Series 2","GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities, Series 2",N,ALLYpA,N,100.0,N,ALLY-A
ALLY$B,"Ally Financial Inc Fixed Rate Floating Rate Perpetual Preferred Stock, Series A","Ally Financial Inc Fixed Rate Floating Rate Perpetual Preferred Stock, Series A",N,ALLYpB,N,100.0,N,ALLY-B
ALN,American Lorain Corporation Common Stock,American Lorain Corporation Common Stock,A,ALN,N,100.0,N,ALN
ALP$N,Alabama Power Company Preferred Stock,Alabama Power Company Preferred Stock,N,ALPpN,N,100.0,N,ALP-N
ALP$O,Alabama Power Company Preferred Stock,Alabama Power Company Preferred Stock,N,ALPpO,N,100.0,N,ALP-O
ALP$P,Alabama Power Company 5.30% Cl A Pfd Stk,Alabama Power Company 5.30% Cl A Pfd Stk,N,ALPpP,N,100.0,N,ALP-P
ALR,Alere Inc. Common Stock,Alere Inc. Common Stock,N,ALR,N,100.0,N,ALR
ALR$B,"Alere Inc. Inverness Medical Innovations, Inc. Series B Convertible Perpetual Preferred Stock","Alere Inc. Inverness Medical Innovations, Inc. Series B Convertible Perpetual Preferred Stock",N,ALRpB,N,10.0,N,ALR-B
ALSN,"Allison Transmission Holdings, Inc. Common Stock","Allison Transmission Holdings, Inc. Common Stock",N,ALSN,N,100.0,N,ALSN
ALTL,RBS US Large Cap Alternator Exchange Traded Note,RBS US Large Cap Alternator Exchange Traded Note,P,ALTL,N,100.0,N,ALTL
ALTS,ProShares Morningstar Alternatives Solution ETF,ProShares Morningstar Alternatives Solution ETF,P,ALTS,Y,100.0,N,ALTS
ALTV,Alteva,Alteva,A,ALTV,N,100.0,N,ALTV
ALU,Alcatel,Alcatel-Lucent Common Stock,N,ALU,N,100.0,N,ALU
ALV,"Autoliv, Inc. Common Stock","Autoliv, Inc. Common Stock",N,ALV,N,100.0,N,ALV
ALX,"Alexander's, Inc. Common Stock","Alexander's, Inc. Common Stock",N,ALX,N,100.0,N,ALX
AM,Antero Midstream Partners LP Common Units representing limited partner interests,Antero Midstream Partners LP Common Units representing limited partner interests,N,AM,N,100.0,N,AM
AMBR,"Amber Road, Inc. Common Stock","Amber Road, Inc. Common Stock",N,AMBR,N,100.0,N,AMBR
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock","AMC Entertainment Holdings, Inc. Class A Common Stock",N,AMC,N,100.0,N,AMC
AMCO,"Armco Metals Holdings, Inc. Common Stock","Armco Metals Holdings, Inc. Common Stock",A,AMCO,N,100.0,N,AMCO
AME,"AMETEK, Inc.","AMETEK, Inc.",N,AME,N,100.0,N,AME
AMFW,AMEC Foster Wheeler plc American Depositary Shares,AMEC Foster Wheeler plc American Depositary Shares,N,AMFW,N,100.0,N,AMFW
AMG,"Affiliated Managers Group, Inc. Common Stock","Affiliated Managers Group, Inc. Common Stock",N,AMG,N,100.0,N,AMG
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,American Homes 4 Rent Common Shares of Beneficial Interest,N,AMH,N,100.0,N,AMH
AMH$A,American Homes 4 Rent Participating Preferred Shares Series A,American Homes 4 Rent Participating Preferred Shares Series A,N,AMHpA,N,100.0,N,AMH-A
AMH$B,American Homes 4 Rent 5% Series B Participating Preferred Shares of Beneficial Interest,American Homes 4 Rent 5% Series B Participating Preferred Shares of Beneficial Interest,N,AMHpB,N,100.0,N,AMH-B
AMH$C,American Homes 4 Rent Participating Pfd Ser C,American Homes 4 Rent Participating Pfd Ser C,N,AMHpC,N,100.0,N,AMH-C
AMID,"American Midstream Partners, LP Common Units representing Limited Partner Interests","American Midstream Partners, LP Common Units representing Limited Partner Interests",N,AMID,N,100.0,N,AMID
AMJ,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,P,AMJ,N,100.0,N,AMJ
AMLP,Alerian MLP ETF,Alerian MLP ETF,P,AMLP,Y,100.0,N,AMLP
AMP,"Ameriprise Financial, Inc. Common Stock","Ameriprise Financial, Inc. Common Stock",N,AMP,N,100.0,N,AMP
AMPE,"Ampio Pharmaceuticals, Inc.","Ampio Pharmaceuticals, Inc.",A,AMPE,N,100.0,N,AMPE
AMPS,iShares Utilities Bond ETF,iShares Utilities Bond ETF,P,AMPS,Y,100.0,N,AMPS
AMRC,"Ameresco, Inc. Class A Common Stock","Ameresco, Inc. Class A Common Stock",N,AMRC,N,100.0,N,AMRC
AMRE,"AmREIT, Inc. Common stock","AmREIT, Inc. Common stock",N,AMRE,N,100.0,N,AMRE
AMS,American Shared Hospital Services Common Stock,American Shared Hospital Services Common Stock,A,AMS,N,100.0,N,AMS
AMT,American Tower Corporation (REIT) Common Stock,American Tower Corporation (REIT) Common Stock,N,AMT,N,100.0,N,AMT
AMT$A,American Tower Corporation (REIT) Pfd Conv Ser A,American Tower Corporation (REIT) Pfd Conv Ser A,N,AMTpA,N,100.0,N,AMT-A
AMTD,TD Ameritrade Holding Corporation Common Stock,TD Ameritrade Holding Corporation Common Stock,N,AMTD,N,100.0,N,AMTD
